line_item,statement,2024-09-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00
Free Cash Flow,cash_flow,-20784000000.0,-12175000000.0,15689000000.0,49436000000.0
Repurchase Of Capital Stock,cash_flow,-1868000000.0,-47000000.0,-3552000000.0,-43000000.0
Repayment Of Debt,cash_flow,-69473000000.0,-64168000000.0,-58670000000.0,-67327000000.0
Issuance Of Debt,cash_flow,86571000000.0,74427000000.0,79836000000.0,54427000000.0
Issuance Of Capital Stock,cash_flow,,,0.0,0.0
Capital Expenditure,cash_flow,-1017000000.0,-1379000000.0,-1265000000.0,-974000000.0
End Cash Position,cash_flow,65667000000.0,102522000000.0,105257000000.0,71353000000.0
Other Cash Adjustment Outside Changein Cash,cash_flow,0.0,0.0,7000000.0,-7000000.0
Beginning Cash Position,cash_flow,102522000000.0,105257000000.0,71353000000.0,30129000000.0
Effect Of Exchange Rate Changes,cash_flow,-753000000.0,694000000.0,897000000.0,298000000.0
Changes In Cash,cash_flow,-36102000000.0,-3429000000.0,33000000000.0,40933000000.0
Financing Cash Flow,cash_flow,9832000000.0,5655000000.0,13239000000.0,-15100000000.0
Cash Flow From Continuing Financing Activities,cash_flow,9832000000.0,5655000000.0,13239000000.0,-15100000000.0
Net Other Financing Charges,cash_flow,310000000.0,-21000000.0,-5000000.0,717000000.0
Proceeds From Stock Option Exercised,cash_flow,-56000000.0,-32000000.0,-33000000.0,-28000000.0
Cash Dividends Paid,cash_flow,-5652000000.0,-4504000000.0,-4337000000.0,-2846000000.0
Common Stock Dividend Paid,cash_flow,-5652000000.0,-4504000000.0,-4337000000.0,-2846000000.0
Net Common Stock Issuance,cash_flow,-1868000000.0,-47000000.0,-3552000000.0,-43000000.0
Common Stock Payments,cash_flow,-1868000000.0,-47000000.0,-3552000000.0,-43000000.0
Common Stock Issuance,cash_flow,,,0.0,0.0
Net Issuance Payments Of Debt,cash_flow,17098000000.0,10259000000.0,21166000000.0,-12900000000.0
Net Long Term Debt Issuance,cash_flow,17098000000.0,10259000000.0,21166000000.0,-12900000000.0
Long Term Debt Payments,cash_flow,-69473000000.0,-64168000000.0,-58670000000.0,-67327000000.0
Long Term Debt Issuance,cash_flow,86571000000.0,74427000000.0,79836000000.0,54427000000.0
Investing Cash Flow,cash_flow,-26167000000.0,1712000000.0,2807000000.0,5623000000.0
Cash Flow From Continuing Investing Activities,cash_flow,-26167000000.0,1712000000.0,2807000000.0,5623000000.0
Net Investment Purchase And Sale,cash_flow,-25166000000.0,2726000000.0,1946000000.0,5263000000.0
Sale Of Investment,cash_flow,47624000000.0,36480000000.0,36022000000.0,34111000000.0
Purchase Of Investment,cash_flow,-72790000000.0,-33754000000.0,-34076000000.0,-28848000000.0
Net Business Purchase And Sale,cash_flow,-30000000.0,293000000.0,2101000000.0,1272000000.0
Sale Of Business,cash_flow,0.0,293000000.0,2115000000.0,1272000000.0
Purchase Of Business,cash_flow,-30000000.0,0.0,-14000000.0,0.0
Net Intangibles Purchase And Sale,cash_flow,-782000000.0,-1141000000.0,-1099000000.0,-740000000.0
Purchase Of Intangibles,cash_flow,-782000000.0,-1141000000.0,-1099000000.0,-740000000.0
Net PPE Purchase And Sale,cash_flow,-189000000.0,-166000000.0,-141000000.0,-172000000.0
Sale Of PPE,cash_flow,46000000.0,72000000.0,25000000.0,62000000.0
Purchase Of PPE,cash_flow,-235000000.0,-238000000.0,-166000000.0,-234000000.0
Operating Cash Flow,cash_flow,-19767000000.0,-10796000000.0,16954000000.0,50410000000.0
Cash Flow From Continuing Operating Activities,cash_flow,-19767000000.0,-10796000000.0,16954000000.0,50410000000.0
Change In Working Capital,cash_flow,-28976000000.0,-19715000000.0,7475000000.0,43860000000.0
Change In Other Working Capital,cash_flow,7981000000.0,7232000000.0,41420000000.0,58802000000.0
Change In Other Current Liabilities,cash_flow,-318000000.0,-2900000000.0,3654000000.0,85000000.0
Change In Other Current Assets,cash_flow,-2131000000.0,1553000000.0,-1504000000.0,311000000.0
Change In Payables And Accrued Expense,cash_flow,802000000.0,2400000000.0,794000000.0,-423000000.0
Change In Payable,cash_flow,802000000.0,2400000000.0,794000000.0,-423000000.0
Change In Account Payable,cash_flow,802000000.0,2400000000.0,794000000.0,-423000000.0
Change In Receivables,cash_flow,-227000000.0,-730000000.0,-544000000.0,183000000.0
Changes In Account Receivables,cash_flow,-227000000.0,-730000000.0,-544000000.0,183000000.0
Other Non Cash Items,cash_flow,-1393000000.0,-1303000000.0,1248000000.0,-1969000000.0
Deferred Tax,cash_flow,-252000000.0,665000000.0,427000000.0,350000000.0
Deferred Income Tax,cash_flow,-252000000.0,665000000.0,427000000.0,350000000.0
Depreciation Amortization Depletion,cash_flow,1522000000.0,1237000000.0,1581000000.0,3054000000.0
Depreciation And Amortization,cash_flow,1522000000.0,1237000000.0,1581000000.0,3054000000.0
Net Income From Continuing Operations,cash_flow,6990000000.0,7201000000.0,5699000000.0,5463000000.0
